1  count: 247,   search: http://www.xiniudata.com/search/#/open/
2  count: 131,   search: http://m.xiniudata.com/#/search
3  count: 90,   search: http://www.xiniudata.com/search/#/open/大数据
4  count: 87,   search: http://www.xiniudata.com/search/#/open/人工智能
5  count: 84,   search: http://www.xiniudata.com/search/#/
6  count: 75,   search: http://www.xiniudata.com/search/#/open/摩拜单车
7  count: 45,   search: http://www.xiniudata.com/search/#/open/Teambition
8  count: 44,   search: http://www.xiniudata.com/search/#/open/知名风投
9  count: 38,   search: http://www.xiniudata.com/search/#/open/teambition
10  count: 37,   search: http://www.xiniudata.com/search/#/open/团队优秀
11  count: 36,   search: http://www.xiniudata.com/search/#/open/机器学习
12  count: 35,   search: http://www.xiniudata.com/search/#/open/%E5%A4%A7%E6%95%B0%E6%8D%AE
13  count: 31,   search: http://www.xiniudata.com/search/#/open/知名天使
14  count: 30,   search: http://www.xiniudata.com/search/#/open/支付宝
15  count: 30,   search: http://www.xiniudata.com/search/#/open/石墨
16  count: 27,   search: http://www.xiniudata.com/search/#/open/%E6%88%BF%E4%BA%A7
17  count: 26,   search: http://www.xiniudata.com/search/#/open/%E6%91%A9%E6%8B%9C%E5%8D%95%E8%BD%A6
18  count: 26,   search: http://m.xiniudata.com/#/search/open/
19  count: 25,   search: http://www.xiniudata.com/search/#/open/烯牛数据
20  count: 25,   search: http://www.xiniudata.com/search/#/open/职问
21  count: 24,   search: http://www.xiniudata.com/search/#/open/知名FA
22  count: 23,   search: http://www.xiniudata.com/search/#/open/媒体热议
23  count: 22,   search: http://www.xiniudata.com/search/#/open/共享经济
24  count: 22,   search: http://www.xiniudata.com/search/#/open/海那边
25  count: 21,   search: http://www.xiniudata.com/search/#/open/区块链
26  count: 19,   search: http://www.xiniudata.com/search/#/open/下载激增
27  count: 19,   search: http://www.xiniudata.com/search/#/open/%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD
28  count: 19,   search: http://www.xiniudata.com/search/#/open/%E5%AA%92%E4%BD%93%E7%83%AD%E8%AE%AE
29  count: 18,   search: http://www.xiniudata.com/search/#/open/旅游
30  count: 18,   search: http://m.xiniudata.com/#/search/open/Teambition
31  count: 17,   search: http://www.xiniudata.com/search/#/open/保险
32  count: 17,   search: http://www.xiniudata.com/search/#/open/智能投顾
33  count: 17,   search: http://www.xiniudata.com/search/#/open/fellowplus
34  count: 17,   search: http://www.xiniudata.com/search/#/open/农业
35  count: 17,   search: http://www.xiniudata.com/search/#/open/%E5%9B%A2%E9%98%9F%E4%BC%98%E7%A7%80
36  count: 17,   search: http://www.xiniudata.com/search/#/open/悦迪孕产
37  count: 16,   search: http://www.xiniudata.com/search/#/open/%E4%BF%9D%E9%99%A9
38  count: 16,   search: http://www.xiniudata.com/search/#/open/因果树
39  count: 16,   search: http://www.xiniudata.com/search/#/open/金融
40  count: 15,   search: http://m.xiniudata.com/#/search/open/%E6%91%A9%E6%8B%9C%E5%8D%95%E8%BD%A6
41  count: 15,   search: http://www.xiniudata.com/search/#/open/下载黑马
42  count: 15,   search: http://www.xiniudata.com/search/#/open/mobike
43  count: 14,   search: http://www.xiniudata.com/search/#/open/电动汽车
