% class: {"招聘": 0, "生活服务": 1, "物业地产": 2, "汽车交通": 3, "社交": 4, "能源": 5, "硬件": 6, "安全": 7, "美业": 8, "旅游": 9, "法律": 10, "金融": 11, "婚恋": 12, "家装家居": 13, "农业": 14, "媒体娱乐": 15, "游戏": 16, "生物制药": 17, "云服务": 18, "教育培训": 19, "电子商务": 20, "医疗健康": 21, "市场营销": 22, "体育运动": 23}
@RELATION field 

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE 19 NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE 21 NUMERIC
@ATTRIBUTE 22 NUMERIC
@ATTRIBUTE 23 NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE 26 NUMERIC
@ATTRIBUTE 27 NUMERIC
@ATTRIBUTE 28 NUMERIC
@ATTRIBUTE 29 NUMERIC
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}

@DATA
2.46349,-10.0,-0.34305,0.15366,0.10442,-0.00775,-0.87219,-10.0,0.25009,-1.43138,10.0,0.50484,0.1388,10.0,-0.60731,-0.33666,-1.07338,-0.72105,0.55991,10.0,-0.41322,-0.78646,-10.0,0.44608,-0.24055,10.0,-0.3159,0.40645,0.00407,0.47,5
0.76542,-10.0,0.16788,0.0107,-10.0,-0.11667,0.03491,10.0,0.10838,-0.31666,10.0,-0.4751,-0.19914,0.04714,-0.0025,-0.36969,0.16865,-0.23956,0.10473,10.0,-0.56626,0.03179,-10.0,-0.17945,-0.12255,10.0,0.03513,0.25417,-10.0,0.27679,5
0.63851,10.0,-0.04831,-0.03806,10.0,-0.11743,-0.17749,-10.0,-0.14931,-0.45919,10.0,-0.15763,0.17055,-10.0,0.18473,-0.21483,10.0,-0.32854,0.33757,-10.0,0.20127,0.2254,-10.0,0.14306,-0.24672,10.0,0.16719,0.23334,10.0,0.06957,5
0.3959,-0.13393,0.09347,-0.02982,0.24264,0.16116,0.13113,0.13999,0.02163,-0.47502,10.0,0.44032,0.12525,-0.07926,-0.02008,0.03701,-0.04341,0.03641,0.02019,-0.0421,-0.04132,-0.18054,10.0,0.06864,-0.07567,-0.12524,-0.18511,0.0536,0.06401,0.1277,5
0.23105,10.0,-0.06451,0.00419,-10.0,-0.01679,-0.0305,10.0,-0.02325,-0.14914,10.0,0.02286,0.08639,-0.07481,0.03819,0.02134,-10.0,-0.15706,0.05167,-10.0,0.06833,0.10913,10.0,0.08442,-0.03761,10.0,0.04179,0.06607,-10.0,-0.02103,5
0.23271,-10.0,0.08136,0.0,10.0,0.08441,0.15289,-10.0,0.07206,-0.08217,-10.0,0.14669,0.08003,10.0,0.01779,0.0324,-10.0,-0.00441,-0.11382,10.0,-0.05019,-0.02653,-10.0,-0.01626,-0.024,10.0,0.01024,0.00265,10.0,-0.00135,5
0.59424,0.00351,-0.0576,-0.03224,0.18583,0.02573,-0.01105,-10.0,-0.19848,-0.47546,10.0,0.1913,0.11946,-0.40386,0.26219,-0.11528,0.15346,-0.33415,0.16963,-10.0,0.19096,0.06541,-0.06664,0.31078,-0.00463,-10.0,0.06034,0.06881,-10.0,-0.03454,5
2.62518,-0.52594,-0.10018,-0.10215,10.0,0.39724,0.01961,-10.0,-0.15767,-2.22058,10.0,1.1308,0.39334,-10.0,0.09387,-0.06761,-10.0,-0.18203,0.63165,10.0,0.14678,-0.19452,10.0,0.43505,-0.39433,-10.0,-0.50889,0.47459,10.0,0.2641,5
1.87708,-10.0,-0.14917,-0.02115,10.0,-0.17974,-0.38461,10.0,-0.78606,-1.27585,10.0,-0.06387,0.12012,-0.86562,1.02355,-0.32164,-10.0,-0.68475,0.39551,10.0,-0.16237,0.21427,-10.0,0.59762,-0.44279,10.0,0.1136,0.00166,-10.0,0.08729,5
4.67043,10.0,-0.41626,-0.2632,10.0,0.15398,-0.5522,10.0,-0.5842,-2.82224,-10.0,0.5845,0.69087,10.0,1.40937,-0.02855,10.0,-2.20148,0.5822,10.0,0.1141,0.33432,-10.0,1.30501,-0.52638,-10.0,0.04485,0.89442,-10.0,0.05621,5
