川岳投资,川岳（上海）投资管理合伙企业（有限合伙）
集结号资本,北京集结号投资管理有限公司
乐尧创投,上海乐尧投资管理中心
千合资本,深圳千合资本管理有限公司
奇虎360,北京奇虎欣盛投资有限公司
极客帮,极客帮创业基金,上海极客股权投资管理有限公司
中瑞思创,思创医惠(中瑞思创)
博汇源创投,深圳博汇源创业投资有限公司
优酷土豆,优酷土豆-合一集团
中美创投,中美创业投资硅谷行孵化器基金
联通,联通创新创业投资有限公司
左驭资本,北京左驭投资管理有限公司
UMC资本,UMC Capital联电资本
德福资本,德福资本GL Captal
永宣联创,北京联创永宣投资管理股份有限公司
天音通信公司,天音通信/天音控股
探针创投,探针（上海）创业投资合伙企业（有限合伙）
新进创投,上海新进创业投资中心（有限合伙）
银杏谷投资,浙江银杏谷投资有限公司
国开金融,国开金融有限责任公司
广联达,广联达软件股份有限公司
景林投资,景林资产管理公司
乐邦乐成,北京乐邦乐成创业投资管理有限公司
飞马旅,飞马基金-飞马旅
清流资本,Crystal Stream清流资本
熙金资本,熙金资本Zhong Capital
金浦投资,金浦集团
邦讯技术,邦讯科技
KTB投资集团,KTB Venture Capital
架桥投资,深圳市架桥投资有限公司
周大福,周大福集团
怡和创投,怡和创业投资集团
绵世股份,绵世股份/绵世投资
中泽嘉盟,中泽嘉盟投资有限公司
中广文影,中广文影股权投资基金管理（上海）有限公司
人人网,人人公司/千橡互动
湖畔山南资本,杭州湖畔山南资本管理有限公司
财晟资本,上海财晟股权投资管理有限公司
岩桥投资,上海岩桥投资管理有限公司
李笑来比特基金,BitFund.PE比特基金李笑来
瀛晟娱乐,中国瀛晟娱乐
丹华资本,丹华资本Danhua Capital
瑞银华信,深圳瑞银华信股权投资基金管理有限公司
乐视网,乐视投资管理（北京）有限公司
上海掌门科技,掌门科技(南京)有限公司
嘉御基金,嘉御（中国）投资基金
和盟创投,浙江和盟投资管理有限公司
菜鸟网络,菜鸟网络-阿里巴巴
浙报传媒,浙报传媒(东方星空)
五岳天下资本,北京五岳天下投资咨询有限公司
源渡创投,源渡股权投资管理（上海）有限公司
SK电讯创投,SK电讯（中国）创业投资基金
安卓信创投,深圳市安卓信创业投资有限公司
KKR,KKR集团
天使创业村/晨脉创投,晨脉创业投资管理（上海）有限公司,
墨池山创投,北京墨池山创业投资管理中心（有限合伙）
香格里拉,新加坡香格里拉投资发展有限公司
微软,微软Microsoft,微软创投
基本粒子投资,杭州基本粒子投资
沃石投资,沃石资本
森马,森马服饰
维梧资本,维梧资本Vivo Capital
梅花天使创投,梅花天使创投/吴世春
盈富泰克,盈富泰克创业投资有限公司
复励投资,上海复励投资管理有限公司
初创投资,初创（上海）投资管理有限公司
智度投资,智度投资(思达高科)
复聚投资,浙江复聚投资管理有限公司
好未来,学而思/好未来
骅威科技,骅威股份
徽瑾创投,徽瑾创业投资（上海）有限公司
搜狗,搜狗科技
艾瑞资本,艾瑞资本-艾瑞咨询
挚信资本,上海挚信投资管理有限公司
联想乐基金,联想集团
中银国际,中银投资浙商产业基金管理有限公司
厚朴基金,厚朴投资管理公司
联科创盈,联科创盈(北京)投资有限公司
天星资本,北京天星创联网络科技有限公司
恒泰华盛,恒泰资本CHT Capital,北京盛源恒泰投资管理有限公司
百度,百度Baidu,百度音乐
元钛基金,元钛长青基金
